mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,Speed_mean,Speed_std,Speed_median,Speed_max,Speed_min,Speed_mode,ROT_mean,ROT_std,ROT_median,ROT_max,ROT_min
538005553,9436393,0,BRENTHOLMEN,,Oil products tanker,Tanker,,,144,-1,-1,-1,-1,-1,22,126,18,11,11,0,11.2181906261354,1.87554732864069,11.6,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
209223000,9246918,0,AMETHYST,,Oil products tanker,Tanker,,,93,-1,-1,-1,-1,-1,13,74,19,7,6,0,10.36542546952181,2.662629571394567,11.1,51.2,0.0,11.0,0.0,0.0,0.0,0.0,0.0
248595000,9198290,0,ANGELICA AN,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,12.338601271571298,1.0180861929746687,12.9,13.5,9.4,13.0,0.7009990917347865,4.042907246142096,0.0,27.9,-11.4
211333700,9212345,0,FINJA,,Oil products tanker,Tanker,,,68,-1,-1,-1,-1,-1,12,58,10,7,5,0,7.97215906593165,2.7043739623070864,8.7,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
219083000,9221267,0,TERNVIK,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,115,26,11,11,0,11.429756189296223,1.4671805130899864,11.5,15.4,0.0,12.0,0.0,0.0,0.0,0.0,0.0
538007390,9780251,0,FRONT CASTOR,,Oil products tanker,Tanker,,,251,-1,-1,-1,-1,-1,44,214,37,17,27,0,12.088973422396222,2.2554387280772445,12.3,91.2,0.3,14.0,0.006157043973119679,3.7397046044916737,0.0,27.9,-30.2
566915000,9242326,0,MTM MANILA,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,150,33,12,20,0,11.187701274325793,1.8091208577304274,11.7,51.2,1.7,12.0,3.9513978069742173e-05,0.0039756246336766846,0.0,0.4,0.0
219081000,9277371,0,TERNVAG,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,113,28,16,6,0,11.809759493533193,3.984942320450517,13.1,16.3,0.0,14.0,-0.06532616853944806,3.838766109591907,0.0,61.1,-37.5
215193000,9506693,0,GOLD POINT,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,11.071682075753056,1.690554203866182,11.6,12.7,4.5,12.0,0.28094243960632265,4.520644903340692,0.0,40.2,-42.9
245405000,9402653,0,STAR CURACAO,,Oil products tanker,Tanker,,,110,-1,-1,-1,-1,-1,14,93,17,7,7,0,10.52817283531933,2.732072636526196,11.2,24.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
