mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed,ROT_mean,ROT_max,ROT_median,ROT_min,Speed_median,length/width
255805557,9297589,0,ALANA,,General cargo ship,Cargo,,,149,-1,-1,-1,-1,-1,22,139,10,13,9,0,13.087839122106233,19.2,4.277390087288128,-0.1306832187458236,61.1,0.0,-54.7,14.7,6.7727272727272725
248595000,9198290,0,ANGELICA AN,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,12.338601271571298,13.5,1.0180861929746687,0.7009990917347865,27.9,0.0,-11.4,12.9,5.71875
518435000,8416798,0,PEAK OSLO,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,10,77,10,5,5,0,8.397018995098039,11.4,1.8553536169738438,0.039485294117647056,116.1,0.0,-107.2,9.0,8.7
636017036,9762912,0,TRAMMO LAOURA,,General cargo ship,Cargo,,,189,-1,-1,-1,-1,-1,32,165,24,8,24,0,12.036522313425795,13.2,0.7757197324237944,0.0921785074063591,27.9,0.0,-23.6,12.3,5.90625
248659000,9745500,0,CMA CGM PREGOLIA,,General cargo ship,Cargo,,,195,-1,-1,-1,-1,-1,32,183,12,30,2,0,15.6164002225181,19.9,1.5288339514788072,0.039550312802086575,45.7,0.0,-54.7,15.8,6.09375
210925000,9313204,0,BALTIC FULMAR,,General cargo ship,Cargo,,,169,-1,-1,-1,-1,-1,27,159,10,0,27,0,13.382709305180454,17.0,4.2955118681332,0.04887674932482199,30.2,0.0,-30.2,15.0,6.2592592592592595
305203000,8710998,0,MOSVIK,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,62,20,7,5,0,7.879568748664872,11.4,1.9550496482494704,-0.01672341408760174,116.1,0.0,-111.6,8.5,6.833333333333333
538007390,9780251,0,FRONT CASTOR,,Oil products tanker,Tanker,,,251,-1,-1,-1,-1,-1,44,214,37,17,27,0,12.088973422396224,91.2,2.2554387280772445,0.006157043973119679,27.9,0.0,-30.2,12.3,5.704545454545454
566915000,9242326,0,MTM MANILA,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,150,33,12,20,0,11.187701274325793,51.2,1.809120857730428,3.951397806974217e-05,0.4,0.0,0.0,11.7,5.71875
305506000,9301134,0,LANGENESS,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,141,20,15,10,0,13.464625000000002,102.2,4.6063733206804445,0.017339743589743578,40.2,0.0,-57.9,15.8,6.44
212204000,9179983,0,MAIN HIGHWAY,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,20,76,24,10,10,0,12.163331892826273,16.8,4.1038126758451545,0.028429847306251813,82.5,0.0,-64.5,14.0,5.0
219081000,9277371,0,TERNVAG,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,113,28,16,6,0,11.809759493533196,16.3,3.984942320450517,-0.06532616853944806,61.1,0.0,-37.5,13.1,6.409090909090909
209325000,9065948,0,RIX RIVER,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,78,10,5,8,0,7.8468002312091025,11.7,2.6821123189287728,0.0029680435994302442,237.9,0.0,-237.9,8.8,6.769230769230769
249517000,9754903,0,RUEN,,General cargo ship,Cargo,,,185,-1,-1,-1,-1,-1,31,158,27,10,21,0,11.140348877980363,13.9,0.6374987154565783,0.2822230014025245,32.5,0.0,-21.6,11.1,5.967741935483871
